order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
272,997,7,101,2,36.823535167255365,-2.5295857732861435,,,
273,13504,105,64,4,36.810171739587,-2.5650019552646888,,,
274,12297,96,9,8,36.79040146526528,-2.5617132363699553,,,
275,8156,63,92,0,36.82026519897769,-2.549831131387585,,,
276,15692,122,76,2,36.814476055060275,-2.5711569181370875,,,
277,842,6,74,0,36.81382776931938,-2.529207739039674,,,
278,1283,10,3,6,36.788297173466084,-2.5306106910330324,,,
279,3235,25,35,8,36.799793615216345,-2.5360546252781027,,,
280,10180,79,68,8,36.81162595249441,-2.555602320354751,,,
281,12900,100,100,2,36.823119137961804,-2.5632160558162704,,,
282,14259,111,51,2,36.80549372056761,-2.5671636102777295,,,
283,10452,81,84,2,36.81737772049,-2.5563354080015968,,,
284,1296,10,16,6,36.792971312879104,-2.530618698888308,,,
285,15124,118,20,4,36.79434296738399,-2.5696756278398323,,,
286,7399,57,103,2,36.82422402758098,-2.547668124799779,,,
287,10870,84,118,2,36.82960108149312,-2.557441121838833,,,
288,3784,29,72,5,36.81309470183738,-2.537523782888539,,,
289,10249,80,9,8,36.79041137518067,-2.555927405537826,,,
290,5783,45,23,4,36.79546672019357,-2.5432795565177635,,,
291,10071,78,87,2,36.818458241600005,-2.5552523878656093,,,
292,15579,121,91,2,36.81987017221719,-2.570804571667293,,,
293,1178,9,26,6,36.79656742560885,-2.5302632311769395,,,
294,44,0,44,6,36.80304482640046,-2.5270197123073923,,,
295,1439,11,31,0,36.79836395870483,-2.530989534243065,,,
296,10869,84,117,2,36.829241515506794,-2.557440510248198,,,
297,13642,106,74,2,36.81376676423301,-2.565369758629799,,,
298,8222,64,30,8,36.79797192717535,-2.550154588682047,,,
299,356,2,100,2,36.82317862539563,-2.5277770538098148,,,
