window,map,axis,rank,period_px,whitened_power,p_bonferroni,matches,harmonic_of,n_bins,n_strips
kwando,class_boundary,row,3,5.879360465116278,218.6358368749842,1.501014139265395e-92,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=47);window 256 px (h=48),1345,1
kwando,class_boundary,row,4,3.5265911072362686,193.10588106068332,1.8361312266792538e-81,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=39);window 128 px (h=40),1345,1
kwando,class_boundary,row,5,17.663755458515283,185.52231014546342,3.6091648428452855e-78,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1345,1
kwando,class_boundary,row,6,4.065326633165829,153.39597344072638,3.233683218611663e-64,,window 64 px (h=17);window 128 px (h=34);window 128 px (h=35),1345,1
kwando,class_boundary,row,7,17.58695652173913,143.7815484354463,4.843833420327519e-60,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1345,1
kwando,class_boundary,row,8,6.6202945990180035,107.70602028223678,2.2521224924481436e-44,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1345,1
kwando,change_gradient,col,1,4.37987012987013,133.41848276126532,1.5339508245802582e-55,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1345,1
kwando,change_gradient,col,2,8.75974025974026,89.21765320136818,2.4098377906506623e-36,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1345,1
kwando,change_gradient,col,3,4.384615384615384,80.7941846701626,1.0971189392268773e-32,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1345,1
kwando,change_gradient,col,4,10.5390625,38.16460582717447,3.5813318872817696e-14,,window 256 px (h=27),1345,1
kwando,change_gradient,col,5,5.255844155844156,36.29151418504869,2.330869364761563e-13,,window 128 px (h=27),1345,1
kwando,change_gradient,col,6,5.8398268398268405,31.29589485439784,3.444195879650688e-11,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=48);warp duplication beat (h=2),1345,1
